id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
887420962553869865,Privékamer met eigen badkamer,6334562,Dorothee,,Haringrode,51.20139,4.42656,Private room,73,1,53,2025-03-02,2.42,1,172,23,
887727210577569700,Opera Square Apartment in the Heart of Antwerp 401,490705947,Emma,,Universiteitsbuurt,51.22121,4.41576,Entire home/apt,49,1,36,2025-03-16,1.72,55,305,33,
887732981415968094,Opera Square Apartment in the Heart of Antwerp 501,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,24,2024-11-13,1.08,55,309,12,
887733086318481923,Opera Square Apartment in the Heart of Antwerp 601,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,31,2025-03-08,1.40,55,287,25,
888079747044250912,Appartement in Merksem Antwerpen,514041729,Huur,,Merksem - Heide,51.24812,4.45179,Entire home/apt,65,30,0,,,1,355,0,
888126796125458842,Charming & Spacious City Center Apartments L401,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,49,1,12,2025-02-23,0.60,55,350,7,
888168341532229778,Charming & Spacious City Center Apartments L602,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,49,1,26,2025-03-09,1.20,55,331,9,
888175082417719528,Charming & Spacious City Center Apartments R401,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,49,1,13,2025-02-23,0.61,55,337,7,
888185203568876523,Charming & Spacious City Center Apartments L601,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,49,1,36,2025-03-17,1.63,55,336,13,
888205707336431325,Charming & Spacious City Center Apartments R602,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,,1,34,2025-03-09,1.65,55,316,13,
888216117562402504,Charming & Spacious City Center Apartments L201,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,49,1,17,2025-03-13,0.81,55,336,14,
888224846359426342,Opera Square Apartment in the Heart of Antwerp 502,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,3,2025-03-08,0.35,55,343,3,
888233735913192819,Opera Square Apartment in the Heart of Antwerp 204,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,22,2025-02-22,1.06,55,314,11,
888253823987591248,Charming & Spacious City Center Apartments L301,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,50,1,19,2025-02-23,0.86,55,346,10,
888258667142973345,Opera Square Apartment in the Heart of Antwerp 403,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,17,2025-02-26,0.86,55,342,14,
888260422189458254,Charming & Spacious City Center Apartments L102,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,49,1,10,2025-02-09,0.47,55,353,8,
888266976332539037,Opera Square Apartment in the Heart of Antwerp 503,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,20,2025-02-10,0.90,55,311,11,
888271698490208265,Opera Square Apartment in the Heart of Antwerp 304,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,29,2025-02-23,1.37,55,295,14,
888275046022947596,Maison Nationale Superior Suite,450285303,Lander,,Sint-Andries,51.2160233,4.399328,Entire home/apt,170,1,3,2025-02-16,0.15,11,330,2,
